Commune de l’établissement;median standard of living
Agen;17099,6
Aix-en-Provence;22484
Amiens;17504,6
Angers;18946,7
Anglet;22047,3
Angoulême;17954
Annecy;22012
Annonay;17870,1
Argenteuil;17518,3
Arles;17585,6
Aubière;22487
Auch;19446,7
Aurillac;19446,2
Auxerre;18212,8
Avignon;15887,3
Beauvais;17376
Belfort;17068,4
Besançon;18583,3
Béthune;16755,3
Béziers;15318
Blagnac;23156,1
Blois;17670,5
Bobigny;14319
Bordeaux;21096,7
Boulogne-sur-Mer;15409,5
Bourg-en-Bresse;18179,5
Bourges;19518,4
Brest;19224,4
Brive-la-Gaillarde;18718,5
Bron;19565,3
Cachan;22880,5
Caen;19271
Calais;15717,2
Cambrai;17188
Cannes;18894
Carcassonne;17156
Carquefou;25215,9
Castres;21776,4
Cergy;18540,8
Châlons-en-Champagne;18306
Chalon-sur-Saône;17591
Champs-sur-Marne;21438,7
Charleville-Mézières;16659
Chartres;20231,7
Châteauroux;18415
Châtellerault;18530,7
Cherbourg-en-Cotentin;18586,7
Cholet;19496
Colmar;18929,5
Corte;18484
Cosnes-et-Romain;26676,2
Creil;14113,8
Créteil;19007,7
Cuffies;19334,4
Damigny;22335,3
Digne-les-Bains;19037
Dijon;20688,1
Draguignan;19143,3
Dunkerque;18025,3
Egletons;18047,5
Elbeuf;15905,7
Epinal;17994
Evreux;16830,5
Evry-Courcouronnes;16686,2
Figeac;20304
Fontainebleau;23828,4
Forbach;16172
Gap;19690
Gradignan;23276,8
Grenoble;19861,8
Guéret;18940,9
Haguenau;20907
Ifs;19767,6
Illkirch-Graffenstaden;21924,9
Issoudun;18599,3
La Ciotat;20201,5
La Garde;20336,7
La Rochelle;19266
La Roche-sur-Yon;19874,7
Lannion;20704
Laon;16048
Laval;26214
Le Bourget-du-Lac;24728,7
Le Creusot;18027
Le Havre;18243,9
Le Mans;19264
Le Puy-en-Velay;17856,2
Lens;15039,7
Lieusaint;20380
Limoges;18621,2
Lisieux;16741,3
Lorient;18475
Lyon 7e  Arrondissement;21145,8
Mantes-la-Jolie;15487
Marseille;17930
Marseille 13e  Arrondissement;17359
Maubeuge;14731,7
Meaux;17708,6
Menton;19889,3
Metz;18825,2
Montbéliard;17059
Mont-de-Marsan;19991,3
Montluçon;17717,6
Montpellier;17315,7
Montreuil;24951,7
Mont-Saint-Aignan;26182,6
Morlaix;18720,7
Moulins;17764,6
Mulhouse;15477
Nancy;19996,2
Nanterre;18997,5
Narbonne;17356,8
Nevers;17916,1
Nice;19010
Nîmes;16626
Niort;20299,3
Orléans;19060
Orsay;30838,2
Paris 16e  Arrondissement;38506,8
Paris 18e  Arrondissement;20526
Pau;19235,3
Périgueux;18370
Perpignan;15817,6
Poitiers;18326,5
Pontivy;20097,9
Quimper;20108
Rambouillet;25034
Reims;18094
Rennes;20197,6
Roanne;17104
Rodez;20033,5
Rouen;19313,3
Saint-Avold;18841
Saint-Brieuc;18765,8
Saint-Claude;18032,2
Saint-Cloud;36193,5
Saint-Denis;16700,9
Saint-Dié-des-Vosges;16675,7
Saint-Etienne;17781,7
Saint-Lô;18916,5
Saint-Malo;20422,8
Saint-Martin-d'Hères;19151
Saint-Nazaire;17407,1
Saint-Omer;19584
Saint-Pierre;16188,7
Saint-Quentin;16417,3
Salon-de-Provence;19543,8
Sarcelles;14852
Sarreguemines;17972,3
Sceaux;19234,4
Schiltigheim;17833,8
Schoelcher;20733
Sélestat;19915,3
Sète;17042
Tarbes;17098
Toulon;18534
Toulouse;20270,7
Tours;19025,2
Tremblay-en-France;19938,1
Troyes;16791,4
Tulle;19550,9
Valence;17303
Valenciennes;17762
Vannes;20805
Vélizy-Villacoublay;26273,3
Vesoul;17158,8
Vichy;17926
Vienne;18756
Ville-d'Avray;35161
Villeneuve-d'Ascq;19377,5
Villers-lès-Nancy;24474,4
Villetaneuse;14735,7
Villeurbanne;19010
Vire Normandie;18458
Yutz;21585,3
